category,domain_name,file_name,file_urls,files,meaning,word
n.m.,uchicago_S_Hassan,afšāⁿ.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00063.mp3,,"tinsel, bedecking face, hair etc",afšāⁿ
n.m.,uchicago_S_Hassan,afsānι.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00064.mp3,,"short story, fiction, concocted story",afsānι
n.m.,uchicago_S_Hassan,afsar.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00065.mp3,,"officer, official, executive, administrator",afsar
n.,uchicago_S_Hassan,afsūs.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00066.mp3,,"alas, sorrow, woe, distress, trouble, remorse, repentance",afsūs
n.f.,uchicago_S_Hassan,afvah.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00067.mp3,,"rumor, doubt",afvah
n.m.,uchicago_S_Hassan,afvə̄y.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00068.mp3,,person who is spreading rumor,afvə̄y
v.,uchicago_S_Hassan,afvā pʰə̄lāwun.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00069.mp3,,"to rumor, hearsay, gossip, town-talk",afvā pʰə̄lāwun
n.m.,uchicago_S_Hassan,afzal.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00070.mp3,,"excellent, supreme, outstanding, brilliant",afzal
n.f.,uchicago_S_Hassan,agan bōṭ.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00071.mp3,,"motor-boat, speed-boat, power-boat",agan bōṭ
n.m.,uchicago_S_Hassan,agar magar.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00072.mp3,,"hesitation, excuses, ifs and buts",agar magar
adv.,uchicago_S_Hassan,agar nι.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00073.mp3,,"if not, unless",agar nι
conj.,uchicago_S_Hassan,agar.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00074.mp3,,"although, if, in case",agar
conj.,uchicago_S_Hassan,agarci.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00075.mp3,,"even if, even though, although",agarci
n.m.,uchicago_S_Hassan,agast.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00076.mp3,,August,agast
n.,uchicago_S_Hassan,agə̄r.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00077.mp3,,"stranger, unfamiliar",agə̄r
n.m.,uchicago_S_Hassan,agrāz.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00078.mp3,,"pl of garιz, aim, motive, object, purpose, intension, concern",agrāz
adj.,uchicago_S_Hassan,agun.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00079.mp3,,"dense, dark, opaque",agun
n.m.,uchicago_S_Hassan,agur kaṭʰ.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00080.mp3,,wood of ‘agur kul’,agur kaṭʰ
n.m.,uchicago_S_Hassan,agur kul.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00081.mp3,,a kind of plant,agur kul
n.,uchicago_S_Hassan,agvā.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00082.mp3,,"abduction, kidnap, enticement",agvā
adj.,uchicago_S_Hassan,agə̄fil.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00083.mp3,,"inattentive, unmindful, negligent, remiss",agə̄fil
adv.,uchicago_S_Hassan,ah.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00084.mp3,,"(numerically; used as affix) about, approximately, roughly, nearly, not far off from",ah
interj.,uchicago_S_Hassan,ah.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00085.mp3,,"sigh, exhale noisily",ah
n.m.,uchicago_S_Hassan,ahadnāmι.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00086.mp3,,"treaty, agreement, contract, settlement",ahadnāmι
v.,uchicago_S_Hassan,ahad karun.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00087.mp3,,"swear, give your word, promise",ahad karun
n.m.,uchicago_S_Hassan,ahamdī.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00088.mp3,,name of a sect in Muslim community,ahamdī
interj.,uchicago_S_Hassan,ahansa.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00089.mp3,,"yes, why not?, okay",ahansa
n.f.,uchicago_S_Hassan,ǝhirǝⁿḍ.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00090.mp3,,collar-bone,ǝhirǝⁿḍ
adj.,uchicago_S_Hassan,ahmak.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00091.mp3,,"thick skulled, very foolish, silly, dunce",ahmak
n.,uchicago_S_Hassan,ahtiyāt.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00092.mp3,,"vigilance, watchfulness, care, caution, attention, observation, alertness, awareness",ahtiyāt
n.m.,uchicago_S_Hassan,ajdād.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00093.mp3,,"one from whom a person is descended, a forefather something regarded as a forerunner",ajdād
n.m.,uchicago_S_Hassan,ajal.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00094.mp3,,"death, decease, mortality",ajal
n.m.,uchicago_S_Hassan,ajant.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00095.mp3,,a person that acts or has influence,ajant
n.,uchicago_S_Hassan,ajerʸ.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00096.mp3,,benefit from good deeds,ajerʸ
adj.,uchicago_S_Hassan,ajhal.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00097.mp3,,"most ignorant, ignoramus, dunce",ajhal
adj.,uchicago_S_Hassan,ajīb.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00098.mp3,,"magnificent, superb, fantastic, amazing",ajīb
n.,uchicago_S_Hassan,ajnǝbī.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00099.mp3,,"stranger, foreigner, alien",ajnǝbī
n.,uchicago_S_Hassan,ajvǝnʸ.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00100.mp3,,"a spice of dill, dill seed",ajvǝnʸ
n.f.,uchicago_S_Hassan,akaḍ.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00101.mp3,,"pride, stiffness, vanity, arrogance",akaḍ
adj.,uchicago_S_Hassan,akaḍī.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00102.mp3,,"proud, haughty, arrogant",akaḍī
n.f.,uchicago_S_Hassan,akādmī.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00103.mp3,,academy,akādmī
n.m.,uchicago_S_Hassan,akāl.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00104.mp3,,"timeless, eternal, God’s attribute",akāl
adj.,uchicago_S_Hassan,akbar.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00105.mp3,,"& n.m. greatest, supreme, appellation of a Great Mughal, a male Muslim name",akbar
adv.,uchicago_S_Hassan,aki laṭi.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00106.mp3,,"once, one time, just the once",aki laṭi
adv.,uchicago_S_Hassan,aki pʰiri.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00107.mp3,,"once, one time, just the once",aki pʰiri
indef.,uchicago_S_Hassan,akis.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00108.mp3,,article very frequently employed as an indefinite article,akis
n.f.,uchicago_S_Hassan,akιl.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00109.mp3,,"intelligence, wisdom, sense",akιl
adj.,uchicago_S_Hassan,aklirust.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00110.mp3,,"foolish, stupid, irrational",aklirust
adj.,uchicago_S_Hassan,akliwarǝy.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00111.mp3,,"foolish, stupid, irrational",akliwarǝy
adj.,uchicago_S_Hassan,akliyet.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00112.mp3,,"least, minimum",akliyet
v.,uchicago_S_Hassan,aklι-bakl.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00113.mp3,,"do something foolish, take a wrong decision",aklι-bakl
n.m.,uchicago_S_Hassan,akor.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00114.mp3,,"un-boiled, un-sterilized",akor
adj.,uchicago_S_Hassan,akot.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00115.mp3,,un-spun,akot
adv.,uchicago_S_Hassan,aksar.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00116.mp3,,"mostly, frequently, often",aksar
n.f.,uchicago_S_Hassan,aksǝryēt.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00117.mp3,,majority,aksǝryēt
n.f.,uchicago_S_Hassan,aksīr.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00118.mp3,,"remedy, panacea, alchemy",aksīr
n.m.,uchicago_S_Hassan,aktūbar.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00119.mp3,,October,aktūbar
adj.,uchicago_S_Hassan,akun.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00120.mp3,,"exhausted, tired, weary",akun
n.m.,uchicago_S_Hassan,akūⁿtaⁿt.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00121.mp3,,accountant,akūⁿtaⁿt
adj.,uchicago_S_Hassan,ǝkʸum.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00122.mp3,,"ordinal, first,",ǝkʸum
adv.,uchicago_S_Hassan,akιbī.mp3,https://dsal.uchicago.edu/dictionaries/hassan/audio/00123.mp3,,"alternately, repeated after a day’s gap, occurring in turns",akιbī
